Year,State,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1990,WY,657,2747,3944,3840,3421,2720,3186,4009,3997,3313,2441,1969,1715,1707,1516,1173,870,556,418
1991,AK,1068,4483,5325,4593,3822,3778,5038,6032,5919,4918,3251,2281,1659,1275,935,603,344,170,100
1991,AL,5867,22715,28508,30040,30787,31686,31125,33030,31545,29449,22735,19781,18288,18063,16542,13491,10562,6713,4921
1991,AR,3277,13184,16959,17704,17507,16600,17155,18062,17234,16460,13127,11312,10455,10569,10455,8954,7123,4688,3521
1991,AZ,6655,24552,28840,27279,25629,28572,31685,32812,29187,26274,19583,16254,14618,15406,16256,13719,10029,5969,4050
1991,CA,59467,206534,229562,210534,200894,247285,283859,289441,255660,224077,163889,131067,111608,108857,103945,83075,61680,38597,30484
1991,CO,5164,20634,25899,24019,22003,24247,27958,32864,31462,28134,19518,15031,12783,12130,11014,8674,6300,4046,3335
1991,CT,4724,18939,21416,19804,19981,24304,27700,29825,27304,25359,20347,15920,14219,14655,13648,11799,8991,5685,4798
1991,DC,891,3090,3126,2862,3455,6270,6445,5806,5005,4433,3290,2785,2449,2429,2372,1962,1543,961,776
1991,DE,1062,4045,4798,4517,4349,5597,5875,6127,5449,4944,3812,3173,2937,3034,2828,2240,1524,931,738
1991,FL,18936,72761,85271,79999,78918,87515,104341,110873,100017,91079,71276,61292,58195,67662,74062,65343,49899,31430,22123
1991,GA,10354,40614,48366,48084,47840,52803,58761,60385,54797,51119,38171,30212,25814,23722,21367,17320,12893,8029,5736
1991,HI,1914,6918,8027,7643,7321,8802,10109,10331,9889,8877,6484,4943,4487,4946,4554,3460,2393,1379,1071
1991,IA,3636,15202,20303,20831,19132,20210,19469,21865,21468,19635,14535,12875,11973,12466,11966,10426,8509,5950,5528
1991,ID,1549,6396,8759,9276,8229,6873,6819,8159,8291,7532,5551,4571,3941,3869,3697,3179,2487,1566,1151
1991,IL,18474,69090,82656,81195,78981,86218,96473,102932,92955,84209,63971,53977,47702,48377,44749,37019,28959,18572,14949
1991,IN,8057,31537,39823,40718,40703,43572,43344,47114,44789,41209,31388,26723,23695,24100,22235,17880,13701,8866,7282
1991,KS,3488,14867,19221,18431,16514,18032,18997,20893,19846,17513,12760,10649,9919,10211,9820,8324,6702,4735,4227
1991,KY,5016,19856,25570,27389,27399,28211,29082,31002,29355,27522,20735,17929,16026,15853,14669,11769,9136,5934,4646
1991,LA,6673,26335,34491,34517,32267,32784,33270,35908,33461,29716,22227,18807,16883,16887,15232,12185,9042,5865,4323
1991,MA,8599,34067,38482,35391,37051,51000,54533,54408,48771,45018,33935,26582,24359,25505,24800,21211,16358,10926,9374
1991,MD,7730,29829,34289,31157,29962,35643,43849,46336,41604,38893,29774,23678,20008,19425,17694,14046,9855,6126,4775
1991,ME,1595,6844,8826,8537,8420,8537,9222,10627,10380,9745,7050,5659,5311,5443,5046,4187,3217,2209,1853
